Question ID,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,# of correct per question,Topic,Difficulty Level
Q301,correct,fail,fail,fail,fail,fail,fail,fail,fail,fail,1,plane geometry,high school
Q302,fail,fail,correct,fail,correct,fail,fail,correct,correct,correct,5,plane geometry,high school
Q303,fail,fail,correct,fail,fail,correct,fail,correct,correct,fail,4,analytic geometry,high school
Q304,fail,fail,correct,fail,fail,fail,fail,fail,correct,fail,2,plane geometry,high school
Q305,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,algebra,high school
Q306,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school
Q307,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,high school
Q308,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,high school
Q309,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,scientific figure,high school
Q310,correct,correct,correct,correct,correct,fail,correct,fail,correct,correct,8,algebra,elementary school
Q311,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,elementary school
Q312,fail,correct,correct,fail,correct,correct,correct,correct,correct,correct,8,puzzle test,elementary school
Q313,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,puzzle test,elementary school
Q314,correct,fail,correct,correct,correct,correct,correct,correct,correct,correct,9,statistics,undergraduate
Q315,fail,fail,fail,correct,fail,fail,fail,fail,fail,fail,1,puzzle test,elementary school
Q316,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q317,fail,fail,fail,fail,correct,fail,fail,fail,correct,fail,2,arithmetic,elementary school
Q318,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,solid geometry,high school
Q319,fail,fail,fail,correct,fail,fail,fail,fail,fail,fail,1,arithmetic,elementary school
Q320,correct,correct,correct,correct,correct,correct,correct,correct,correct,fail,9,solid geometry,high school
Q321,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,scientific figure,undergraduate
Q322,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,undergraduate
Q323,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,high school
Q324,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,high school
Q325,correct,correct,correct,correct,fail,fail,correct,correct,correct,correct,8,scientific figure,high school
Q326,correct,fail,fail,fail,fail,fail,fail,fail,fail,fail,1,scientific figure,high school
Q327,correct,fail,fail,fail,fail,fail,fail,fail,fail,fail,1,arithmetic,elementary school
Q328,fail,fail,correct,fail,fail,fail,fail,fail,fail,fail,1,arithmetic,elementary school
Q329,correct,correct,correct,correct,correct,fail,correct,correct,fail,correct,8,scientific figure,high school
Q330,correct,fail,fail,fail,fail,fail,fail,fail,fail,fail,1,scientific figure,high school
Q331,fail,correct,fail,fail,fail,fail,fail,fail,correct,fail,2,scientific figure,high school
Q332,correct,correct,correct,correct,correct,fail,fail,correct,fail,correct,7,scientific figure,high school
Q333,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,high school
Q334,correct,correct,correct,fail,correct,correct,correct,correct,correct,correct,9,scientific figure,high school
Q335,correct,correct,correct,fail,correct,correct,correct,correct,correct,correct,9,analytic geometry,undergraduate
Q336,correct,correct,fail,correct,correct,correct,correct,correct,correct,correct,9,analytic geometry,undergraduate
Q337,fail,fail,fail,fail,fail,correct,fail,correct,correct,fail,3,analytic geometry,undergraduate
Q338,fail,fail,fail,fail,correct,correct,fail,fail,fail,fail,2,analytic geometry,undergraduate
Q339,correct,correct,correct,fail,correct,correct,correct,correct,fail,fail,7,analytic geometry,undergraduate
Q340,fail,fail,correct,fail,correct,correct,correct,fail,fail,correct,5,puzzle test,elementary school
Q341,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school
Q342,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,undergraduate
Q343,fail,fail,fail,fail,correct,fail,fail,fail,fail,fail,1,arithmetic,elementary school
Q344,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,high school
Q345,fail,fail,fail,correct,correct,fail,fail,fail,fail,fail,2,analytic geometry,high school
Q346,fail,fail,fail,fail,fail,fail,correct,fail,fail,correct,2,analytic geometry,high school
Q347,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q348,correct,correct,fail,correct,correct,correct,fail,correct,correct,correct,8,analytic geometry,high school
Q349,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,high school
Q350,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,puzzle test,elementary school
Q351,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q352,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q353,correct,correct,correct,fail,correct,fail,correct,correct,correct,correct,8,scientific figure,high school
Q354,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,high school
Q355,correct,correct,correct,correct,fail,fail,fail,correct,correct,correct,7,arithmetic,elementary school
Q356,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school
Q357,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school
Q358,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,undergraduate
Q359,fail,fail,fail,fail,fail,fail,fail,fail,fail,correct,1,solid geometry,high school
Q360,fail,fail,fail,correct,fail,fail,fail,correct,fail,fail,2,solid geometry,high school
Q361,correct,correct,fail,correct,fail,correct,correct,correct,correct,fail,7,analytic geometry,high school
Q362,fail,fail,correct,correct,correct,correct,fail,correct,correct,correct,7,analytic geometry,high school
Q363,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q364,fail,correct,correct,correct,correct,correct,correct,correct,correct,correct,9,statistics,undergraduate
Q365,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate
Q366,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate
Q367,fail,fail,correct,fail,fail,fail,correct,correct,fail,fail,3,statistics,undergraduate
Q368,fail,fail,correct,fail,fail,correct,correct,correct,correct,fail,5,statistics,undergraduate
Q369,correct,fail,fail,correct,fail,fail,fail,correct,fail,fail,3,statistics,undergraduate
Q370,correct,correct,correct,fail,correct,fail,fail,correct,correct,correct,7,statistics,undergraduate
Q371,fail,fail,fail,fail,fail,fail,fail,correct,fail,fail,1,statistics,undergraduate
Q372,fail,fail,fail,fail,correct,fail,fail,fail,correct,fail,2,statistics,undergraduate
Q373,correct,fail,fail,fail,fail,fail,fail,fail,fail,fail,1,statistics,undergraduate
Q374,fail,fail,fail,fail,fail,fail,correct,fail,correct,fail,2,statistics,undergraduate
Q375,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,undergraduate
Q376,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate
Q377,fail,fail,correct,fail,fail,fail,correct,correct,correct,correct,5,statistics,high school
Q378,fail,correct,correct,correct,correct,correct,correct,correct,correct,correct,9,statistics,high school
Q379,fail,fail,correct,fail,fail,correct,fail,correct,fail,correct,4,statistics,high school
Q380,fail,fail,fail,fail,fail,correct,fail,fail,correct,fail,2,statistics,high school
Q381,correct,fail,fail,correct,correct,correct,fail,fail,correct,correct,6,statistics,high school
Q382,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q383,fail,correct,correct,correct,correct,correct,correct,correct,correct,correct,9,statistics,high school
Q384,correct,fail,correct,fail,correct,correct,correct,correct,correct,correct,8,statistics,high school
Q385,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q386,correct,correct,correct,correct,fail,fail,correct,fail,correct,correct,7,statistics,high school
Q387,correct,fail,correct,fail,correct,fail,fail,fail,fail,correct,4,statistics,high school
Q388,correct,fail,fail,correct,fail,correct,fail,correct,correct,correct,6,statistics,undergraduate
Q389,fail,correct,correct,fail,correct,correct,correct,correct,correct,fail,7,statistics,undergraduate
Q390,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate
Q391,correct,fail,correct,correct,fail,correct,correct,correct,correct,fail,7,statistics,undergraduate
Q392,fail,correct,correct,correct,fail,fail,fail,fail,correct,correct,5,statistics,high school
Q393,correct,correct,correct,fail,correct,correct,correct,correct,correct,fail,8,statistics,high school
Q394,fail,fail,fail,fail,fail,fail,fail,correct,fail,fail,1,statistics,high school
Q395,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,high school
Q396,correct,correct,correct,fail,fail,correct,fail,correct,fail,fail,5,statistics,high school
Q397,correct,fail,correct,fail,correct,correct,correct,fail,fail,correct,6,statistics,high school
Q398,fail,correct,correct,fail,fail,correct,fail,correct,fail,correct,5,statistics,high school
Q399,correct,correct,fail,fail,fail,fail,correct,fail,fail,fail,3,statistics,high school
Q400,correct,correct,correct,correct,correct,fail,correct,correct,fail,fail,7,statistics,high school
Q401,correct,fail,fail,correct,correct,correct,correct,correct,correct,correct,8,statistics,high school
Q402,correct,correct,fail,correct,correct,correct,correct,correct,correct,correct,9,statistics,high school
Q403,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q404,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q405,correct,fail,fail,correct,correct,fail,fail,correct,correct,fail,5,statistics,high school
Q406,correct,fail,correct,correct,correct,correct,correct,fail,correct,correct,8,statistics,high school
Q407,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q408,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q409,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q410,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q411,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q412,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q413,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q414,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q415,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q416,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q417,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q418,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,high school
Q419,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q420,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q421,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q422,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q423,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q424,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,high school
Q425,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q426,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q427,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,elementary school
Q428,fail,fail,fail,fail,correct,fail,fail,fail,fail,fail,1,statistics,elementary school
Q429,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q430,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q431,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q432,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q433,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q434,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q435,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q436,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q437,correct,correct,correct,fail,fail,correct,correct,correct,correct,fail,7,statistics,undergraduate
Q438,correct,fail,correct,fail,fail,correct,correct,correct,fail,correct,6,statistics,undergraduate
Q439,correct,fail,correct,fail,correct,correct,fail,fail,fail,correct,5,statistics,undergraduate
Q440,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate
Q441,correct,correct,correct,correct,correct,correct,correct,correct,correct,fail,9,statistics,undergraduate
Q442,correct,correct,correct,correct,fail,correct,correct,fail,correct,correct,8,statistics,undergraduate
Q443,correct,correct,fail,fail,correct,correct,correct,correct,fail,fail,6,statistics,undergraduate
Q444,fail,correct,fail,correct,correct,fail,fail,correct,fail,fail,4,statistics,undergraduate
Q445,correct,fail,correct,correct,correct,correct,correct,correct,correct,correct,9,statistics,undergraduate
Q446,correct,fail,correct,correct,correct,correct,correct,correct,correct,correct,9,statistics,undergraduate
Q447,correct,correct,correct,fail,correct,correct,fail,fail,correct,correct,7,statistics,undergraduate
Q448,correct,correct,correct,correct,correct,correct,fail,fail,correct,correct,8,statistics,undergraduate
Q449,correct,fail,fail,correct,fail,fail,correct,fail,fail,correct,4,statistics,undergraduate
Q450,fail,correct,fail,correct,fail,correct,fail,fail,correct,fail,4,statistics,undergraduate
Q451,correct,correct,correct,correct,fail,correct,correct,correct,correct,correct,9,statistics,undergraduate
Q452,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate
Q453,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate
Q454,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate
Q455,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate
Q456,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate
Q457,correct,correct,correct,correct,fail,correct,correct,fail,correct,correct,8,statistics,undergraduate
Q458,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate
Q459,correct,correct,fail,correct,correct,correct,fail,correct,correct,fail,7,statistics,undergraduate
Q460,correct,fail,correct,fail,fail,fail,correct,correct,fail,fail,4,statistics,undergraduate
Q461,fail,fail,fail,fail,fail,fail,fail,correct,correct,fail,2,statistics,undergraduate
Q462,fail,fail,fail,fail,fail,fail,correct,fail,fail,fail,1,statistics,undergraduate
Q463,fail,fail,correct,fail,fail,fail,fail,fail,correct,fail,2,statistics,undergraduate
Q464,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,high school
Q465,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,high school
Q466,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,high school
Q467,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,high school
Q468,fail,fail,fail,correct,fail,correct,fail,fail,fail,fail,2,algebra,high school
Q469,correct,correct,correct,fail,correct,correct,correct,correct,correct,correct,9,algebra,high school
Q470,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,algebra,high school
Q471,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,high school
Q472,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,high school
Q473,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,algebra,high school
Q474,correct,correct,correct,fail,fail,correct,correct,correct,fail,correct,7,algebra,undergraduate
Q475,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q476,fail,correct,correct,correct,fail,fail,correct,correct,correct,correct,7,algebra,undergraduate
Q477,fail,correct,fail,fail,fail,fail,fail,fail,fail,fail,1,algebra,undergraduate
Q478,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q479,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,algebra,undergraduate
Q480,correct,fail,correct,correct,correct,correct,fail,fail,correct,fail,6,algebra,undergraduate
Q481,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q482,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q483,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q484,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q485,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q486,correct,correct,fail,correct,correct,correct,correct,correct,correct,correct,9,algebra,undergraduate
Q487,correct,correct,correct,correct,correct,correct,correct,correct,correct,fail,9,algebra,undergraduate
Q488,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q489,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q490,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q491,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q492,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,high school
Q493,correct,fail,correct,correct,correct,correct,fail,correct,fail,correct,7,algebra,high school
Q494,fail,correct,correct,correct,correct,fail,fail,correct,fail,fail,5,algebra,high school
Q495,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,high school
Q496,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,high school
Q497,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,high school
Q498,fail,fail,fail,correct,fail,correct,fail,fail,fail,fail,2,algebra,high school
Q499,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,high school
Q500,correct,correct,fail,correct,correct,correct,correct,correct,correct,correct,9,algebra,elementary school
Q501,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,elementary school
# of correct per variant,323,313,309,323,309,321,323,318,320,314,,,
A_avg,64.47 ,62.48 ,61.68 ,64.47 ,61.68 ,64.07 ,64.47 ,63.47 ,63.87 ,62.67 ,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
